_id,utm_medium,app__os
bac2ddeadf,affiliate,android
415ce0acfe,invite,iOS
c8dd685fc5,invite,android
27e04ced3a,invite,android
00b31b8140,invite,iOS
2769d97fd4,invite,iOS
e8cfd93f5a,affiliate,android
0ef447ba55,invite,android
4f19edb548,invite,iOS
56bfa247fc,invite,android
ef3b52250e,invite,android
f2fe560cf7,cpc,android
f773087817,invite,iOS
dcd0dab401,organic,iOS
00fd266118,invite,android
8031e91da3,invite,iOS
19dc69f7f3,invite,iOS
39212b7943,invite,android
031fe5edfb,invite,android
0e85cbfe14,affiliate,android
0f4d162215,invite,android
90bf8936c0,invite,android
8e106244be,invite,iOS
e370475145,invite,android
120651e37e,organic,iOS
e0a52bed7e,invite,iOS
e0d8642815,invite,iOS
7ba9ec54ce,invite,iOS
cd90ab7e4e,affiliate,android
e349de2543,invite,iOS
050afa696d,invite,iOS
af88dfa7f5,invite,android
72be939c46,invite,android
80b9b6afc4,invite,android
eb4b4f8df6,invite,iOS
389250f5be,invite,iOS
46a7077665,invite,android
be48034432,invite,android
7d2f3c85ba,invite,iOS
21cd875aa8,organic,android
e509952af3,organic,iOS
eb1302c72c,invite,iOS
7a330716c0,invite,android
a9b74c1c07,invite,iOS
eb193c21f4,invite,android
63c0241a8b,invite,android
02affa0fc7,invite,android
0048ed3301,offline,iOS
2dcca18ce7,blogger,iOS
b40e20831e,invite,iOS
449a1edfc4,invite,iOS
66d802c6e3,blogger,android
d20bd71cde,invite,iOS
359c9fb5d3,invite,android
cfd77d142d,blogger,iOS
d4c0d7f9b2,invite,android
da745897a9,invite,android
8102c38484,invite,android
b3eff4b5d0,invite,android
856d1aa0cb,invite,iOS
fd08edffba,email,iOS
790f3c7674,affiliate,iOS
08627adaa7,invite,android
34e60cd60e,cross-promotion,iOS
3a65124083,invite,android
40d2d0a866,invite,iOS
dafc4fb837,invite,iOS
cf1cfbac25,organic,iOS
42a410ab68,invite,android
9e7b2d51e4,organic,iOS
7f289f7052,invite,android
6f1d756bbe,invite,iOS
07328a92e1,invite,iOS
ad8e8c1cd1,invite,iOS
97ce977270,invite,iOS
5e43fc7cfb,invite,iOS
e6a25db2e0,invite,iOS
2543205469,invite,iOS
85b665b842,invite,iOS
536f8c92c9,invite,iOS
647c564178,invite,android
ef3317291a,invite,iOS
7abe2e908c,invite,iOS
eae15256a6,invite,android
76e1711302,organic,iOS
b1c88cbcb8,invite,iOS
2f8a16d079,invite,iOS
d54f6cd4d2,invite,iOS
096bfa782a,invite,android
cd07c9e605,invite,android
bc9ac8326a,invite,android
cb482cffb8,invite,android
721720f3b3,invite,iOS
4844e25702,invite,android
1eaabc9827,invite,iOS
55aa09ac10,invite,android
36bcabc997,invite,android
57a581a173,invite,android
9fe28f6b4c,invite,iOS
0342bc3630,blogger,iOS
3dcc703ccd,invite,iOS
5b7ea7682e,invite,android
